titles
raw nerve
raw justice
the baby
dont go in the house
conquest
battletruck
ninja squad
ultimax force
punk vacation
suburbia
An American Hippie in Israel
blood beach
hunters of the golden cobra
intent to kill
maniac cop
hard ticket to hawaii
warlock
maximum overdrive
nekromantik
manos
superman iv
flash gordon
surf nazis must die
to kako
zardoz
dark angel
girl in room 2a
tc 2000
interzone
zaat
american ninja
krull
beastmaster
raiders of the living dead
315
q winged serpent
karate warrior 6
savage streets
amsterdamned
fatal deviation
black gestapo
ss experiment love camp
ilsa she wolf of the ss
yor
savage justice
commander
nightstick
captain america
stone cold
programmed to kill
rotor
Killer Workout
russian ninja
new years evil
star wars holiday special
christmas evil
little hercules
death wish 3
chopping mall
savage beach
mad foxes
gymkata
galaxy of terror
mac and me
sakura killers
the punisher
Rambu aka The Intruder
battle beyond the stars
night stalker
double dragon
shock em dead
undefeatable
w is war
for your height only
ninja silent assassin
samurai cop
lambada set the night on fire
double trouble
rappin
the perfect weapon
deadly prey
the rage
warbirds
starcrash
arena
future kick
galaxina
star slammer
jack frost
santa with muscles
elves
neon maniacs
dark night of the scarecrow
prom night
cheerleader camp
tuff turf
Class of Nuke 'Em High
class of 1984
exterminators of the year 3000
1990 bronx warriors
endgame
2019 after the fall of new york
equalizer 2000
hands of steel
bloodsport
no retreat no surrender
thunder
miami connection
robowar
frankenhooker
ninja terminator
never too young to die
Dr Caligari
Yeti
